z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,block_type,placed_x,rotation_id
1,0,1,0,1,0,1,0,1,0,1,L,9,0
1,0,1,0,1,0,1,-1,3,2,-1,T,5,0
1,0,1,0,-1,4,3,4,-1,2,-1,T,1,0
-1,4,3,4,3,4,3,4,-1,2,-1,L,9,0
-1,4,3,4,3,4,3,-1,5,4,-1,I,6,0
-1,4,3,4,3,-1,-1,-1,7,-1,-1,I,4,0
-1,4,3,-1,-1,-1,7,6,7,-1,-1,I,2,0
-1,-1,-1,-1,7,6,7,6,7,-1,-1,L,7,0
-1,-1,-1,-1,7,-1,9,8,-1,10,-1,T,7,0
-1,-1,-1,-1,7,-1,-1,12,11,12,-1,O,8,0
-1,-1,-1,-1,7,-1,-1,-1,15,-1,-1,O,12,2
1,0,1,0,1,0,1,0,1,0,1,L,9,0
1,0,1,0,1,0,1,-1,3,2,-1,I,5,0
1,0,1,0,-1,-1,-1,4,-1,2,-1,T,3,0
1,0,-1,4,3,4,3,4,-1,2,-1,T,9,1
1,0,-1,4,3,4,-1,6,5,6,-1,T,4,0
1,0,-1,-1,7,6,7,-1,5,6,-1,I,8,1
1,0,-1,-1,7,-1,9,-1,-1,-1,-1,O,12,2
1,0,1,0,1,0,1,0,1,0,1,L,9,0
1,0,1,0,1,0,1,-1,3,2,-1,T,5,0
1,0,1,0,-1,4,3,4,-1,2,-1,T,9,1
1,0,1,0,-1,4,-1,6,5,6,-1,T,1,0
-1,4,3,4,3,4,-1,6,5,6,-1,O,8,0
-1,4,3,4,3,4,-1,-1,9,-1,-1,L,2,0
-1,6,5,-1,7,-1,-1,-1,9,-1,-1,L,12,2
1,0,1,0,1,0,1,0,1,0,1,L,9,0
1,0,1,0,1,0,1,-1,3,2,-1,I,5,0
1,0,1,0,-1,-1,-1,4,-1,2,-1,O,3,0
1,-1,-1,4,-1,2,-1,4,-1,2,-1,L,9,1
1,-1,-1,4,-1,2,-1,-1,7,-1,3,L,5,1
1,-1,-1,-1,7,-1,-1,-1,7,-1,3,O,12,2
1,0,1,0,1,0,1,0,1,0,1,I,7,0
1,0,1,0,1,0,-1,-1,-1,4,-1,O,5,0
1,0,1,-1,-1,4,-1,2,-1,4,-1,T,1,0
-1,4,3,4,3,4,-1,2,-1,4,-1,O,4,0
-1,4,-1,-1,7,-1,-1,2,-1,4,-1,L,12,2
1,0,1,0,1,0,1,0,1,0,1,L,9,0
1,0,1,0,1,0,1,-1,3,2,-1,O,5,0
1,0,1,-1,-1,4,-1,2,3,2,-1,T,1,0
-1,4,3,4,3,4,-1,2,3,2,-1,T,9,0
-1,4,3,4,3,4,-1,2,-1,6,5,T,4,1
-1,-1,7,6,7,-1,-1,2,-1,6,5,O,10,0
-1,-1,7,6,7,-1,-1,2,-1,-1,9,I,3,0
-1,-1,-1,-1,-1,10,-1,2,-1,-1,9,L,12,2
1,0,1,0,1,0,1,0,1,0,1,T,9,0
1,0,1,0,1,0,1,0,-1,4,3,L,5,0
1,0,1,-1,3,2,-1,4,3,4,3,T,1,0
-1,4,3,4,-1,2,-1,4,3,4,3,L,5,1
-1,4,-1,-1,7,-1,3,4,3,4,3,I,10,1
-1,4,-1,-1,7,-1,3,-1,7,-1,-1,T,12,2
1,0,1,0,1,0,1,0,1,0,1,I,7,0
1,0,1,0,1,0,-1,-1,-1,4,-1,T,5,0
1,0,1,0,-1,4,3,4,3,4,-1,I,1,0
-1,-1,-1,4,3,4,3,4,3,4,-1,I,6,0
-1,-1,-1,4,3,-1,-1,-1,7,-1,-1,L,4,0
-1,-1,-1,6,5,-1,7,6,7,-1,-1,O,4,0
-1,-1,-1,-1,9,-1,-1,6,7,-1,-1,L,7,1
-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,L,12,2
1,0,1,0,1,0,1,0,1,0,1,O,9,0
1,0,1,0,1,0,1,-1,-1,4,-1,I,5,0
1,0,1,0,-1,-1,-1,4,3,4,-1,I,3,0
1,0,-1,-1,-1,4,3,4,3,4,-1,O,1,0
-1,4,-1,2,-1,4,3,4,3,4,-1,O,8,0
-1,4,-1,2,-1,4,-1,-1,7,-1,-1,T,3,1
-1,6,5,6,-1,4,-1,-1,7,-1,-1,T,2,1
9,8,9,-1,-1,4,-1,-1,7,-1,-1,I,1,0
-1,-1,-1,12,-1,4,-1,-1,7,-1,-1,L,12,2
1,0,1,0,1,0,1,0,1,0,1,T,9,0
1,0,1,0,1,0,1,0,-1,4,3,I,5,0
1,0,1,0,-1,-1,-1,4,3,4,3,T,3,0
1,0,-1,4,3,4,3,4,3,4,3,I,4,0
1,0,-1,-1,-1,-1,7,-1,3,4,3,T,10,1
1,0,-1,-1,-1,-1,7,6,7,6,7,I,9,1
1,0,-1,-1,-1,-1,-1,10,-1,-1,-1,O,12,2
1,0,1,0,1,0,1,0,1,0,1,I,9,0
1,0,1,0,1,0,1,0,-1,-1,-1,L,7,0
1,0,1,0,1,-1,3,2,-1,4,3,O,3,0
1,-1,-1,4,-1,2,3,2,-1,4,3,O,7,0
1,-1,-1,4,-1,-1,-1,6,-1,-1,3,T,10,1
1,-1,-1,4,-1,-1,-1,-1,7,6,7,L,9,0
1,-1,-1,4,-1,-1,-1,-1,9,8,-1,I,9,0
1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,O,12,2
1,0,1,0,1,0,1,0,1,0,1,I,9,0
1,0,1,0,1,0,1,0,-1,-1,-1,O,7,0
1,0,1,0,1,-1,-1,4,-1,2,-1,O,3,0
1,-1,-1,4,-1,2,-1,4,-1,2,-1,T,5,0
1,-1,-1,4,-1,6,5,6,-1,2,-1,O,6,0
1,-1,-1,4,-1,-1,9,-1,-1,2,-1,I,9,0
1,-1,-1,4,-1,-1,9,-1,-1,-1,-1,I,12,2
1,0,1,0,1,0,1,0,1,0,1,L,9,0
1,0,1,0,1,0,1,-1,3,2,-1,L,5,0
1,0,1,-1,3,2,-1,4,-1,2,-1,L,1,0
3,2,-1,4,-1,2,-1,4,-1,2,-1,T,9,1
3,2,-1,4,-1,2,-1,6,5,6,-1,I,5,1
3,2,-1,6,-1,-1,-1,6,5,6,-1,O,8,0
3,2,-1,6,-1,-1,-1,-1,9,-1,-1,O,12,2
1,0,1,0,1,0,1,0,1,0,1,O,9,0
1,0,1,0,1,0,1,-1,-1,4,-1,O,5,0
1,0,1,-1,-1,4,-1,2,-1,4,-1,T,1,0
-1,4,3,4,3,4,-1,2,-1,4,-1,L,4,0
-1,4,-1,6,5,-1,7,-1,-1,4,-1,T,4,0
-1,4,-1,-1,9,8,9,-1,-1,4,-1,I,5,1
-1,4,-1,12,-1,-1,-1,-1,-1,4,-1,O,12,2
1,0,1,0,1,0,1,0,1,0,1,I,9,0
1,0,1,0,1,0,1,0,-1,-1,-1,T,7,0
1,0,1,0,1,0,-1,4,3,4,3,L,3,0
1,-1,3,2,-1,4,3,4,3,4,3,I,3,0
1,-1,-1,-1,-1,6,-1,4,3,4,3,L,8,1
1,0,1,0,1,0,1,0,1,0,1,L,9,0
1,0,1,0,1,0,1,-1,3,2,-1,O,5,0
1,0,1,-1,-1,4,-1,2,3,2,-1,O,1,0
-1,4,-1,2,-1,4,-1,2,3,2,-1,O,9,0
-1,4,-1,2,-1,4,-1,-1,-1,6,-1,T,3,0
-1,4,-1,6,5,6,-1,-1,-1,6,-1,T,4,1
-1,-1,9,8,9,-1,-1,-1,-1,6,-1,I,3,1
-1,12,-1,-1,-1,-1,-1,-1,-1,6,-1,L,12,2
1,0,1,0,1,0,1,0,1,0,1,O,9,0
1,0,1,0,1,0,1,-1,-1,4,-1,T,5,0
1,0,1,0,-1,4,3,4,3,4,-1,L,1,0
3,2,-1,4,3,4,3,4,3,4,-1,L,8,0
3,2,-1,4,3,4,-1,6,5,-1,7,T,1,0
-1,6,5,6,-1,4,-1,6,5,-1,7,T,8,0
-1,6,5,6,-1,4,-1,-1,9,8,9,L,9,0
-1,6,5,6,-1,4,-1,-1,11,10,-1,O,9,0
-1,6,5,6,-1,4,-1,-1,-1,14,-1,I,2,0
-1,-1,-1,-1,9,-1,-1,-1,-1,14,-1,O,12,2
1,0,1,0,1,0,1,0,1,0,1,I,9,0
1,0,1,0,1,0,1,0,-1,-1,-1,L,7,0
1,0,1,0,1,-1,3,2,-1,4,3,I,3,0
1,0,-1,-1,-1,4,-1,2,-1,4,3,O,1,0
-1,4,-1,2,-1,4,-1,2,-1,4,3,L,3,1
-1,-1,7,-1,3,4,-1,2,-1,4,3,L,7,1
-1,-1,7,-1,-1,-1,7,-1,3,4,3,I,8,0
-1,-1,7,-1,-1,-1,7,-1,-1,-1,7,T,12,2
1,0,1,0,1,0,1,0,1,0,1,O,9,0
1,0,1,0,1,0,1,-1,-1,4,-1,T,5,0
1,0,1,0,-1,4,3,4,3,4,-1,O,1,0
-1,4,-1,-1,-1,4,3,4,3,4,-1,O,6,0
-1,4,-1,-1,-1,-1,7,-1,-1,4,-1,L,12,2
1,0,1,0,1,0,1,0,1,0,1,O,9,0
1,0,1,0,1,0,1,-1,-1,4,-1,I,5,0
1,0,1,0,-1,-1,-1,4,3,4,-1,I,3,0
1,0,-1,-1,-1,4,3,4,3,4,-1,L,1,0
3,2,-1,4,3,4,3,4,3,4,-1,O,1,0
-1,6,-1,-1,3,4,3,4,3,4,-1,I,4,1
-1,-1,7,-1,-1,-1,3,4,3,4,-1,T,6,1
-1,-1,7,6,7,6,7,-1,3,4,-1,L,3,0
-1,-1,9,8,-1,10,-1,-1,3,4,-1,T,3,1
-1,12,11,12,-1,10,-1,-1,3,4,-1,L,2,0
-1,14,13,-1,15,-1,-1,-1,3,4,-1,O,2,0
-1,-1,17,-1,-1,-1,-1,-1,3,4,-1,T,8,0
-1,-1,17,-1,-1,-1,-1,6,7,6,7,T,12,2
1,0,1,0,1,0,1,0,1,0,1,L,9,0
1,0,1,0,1,0,1,-1,3,2,-1,T,5,0
1,0,1,0,-1,4,3,4,-1,2,-1,I,9,1
1,0,1,0,-1,4,-1,6,-1,-1,3,O,1,0
-1,4,-1,-1,-1,4,-1,6,-1,-1,3,T,10,1
-1,4,-1,-1,-1,4,-1,-1,7,6,7,T,9,1
-1,4,-1,-1,-1,4,-1,10,9,10,-1,I,8,0
-1,4,-1,-1,-1,4,-1,-1,-1,-1,13,I,12,2
1,0,1,0,1,0,1,0,1,0,1,T,9,0
1,0,1,0,1,0,1,0,-1,4,3,I,5,0
1,0,1,0,-1,-1,-1,4,3,4,3,T,3,0
1,0,-1,4,3,4,3,4,3,4,3,I,6,1
1,0,-1,-1,7,-1,-1,-1,3,4,3,O,8,0
1,0,-1,-1,7,-1,5,-1,7,-1,-1,I,6,0
1,0,-1,-1,7,6,-1,-1,9,-1,-1,L,5,0
1,0,-1,-1,9,8,-1,10,-1,-1,-1,O,5,0
