z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,block_type,placed_x,rotation_id
1,0,1,0,1,0,1,0,1,0,1,O,9,0
1,0,1,0,1,0,1,-1,-1,4,-1,I,5,0
1,0,1,0,-1,-1,-1,4,3,4,-1,T,3,0
1,0,-1,4,3,4,3,4,3,4,-1,I,6,0
1,0,-1,4,3,-1,-1,-1,7,-1,-1,L,4,0
1,0,-1,6,5,-1,7,6,7,-1,-1,T,4,0
1,0,-1,-1,9,8,9,-1,7,-1,-1,L,5,0
1,0,-1,-1,11,10,-1,12,-1,-1,-1,O,5,0
1,0,-1,-1,-1,14,-1,-1,-1,-1,-1,L,12,2
1,0,1,0,1,0,1,0,1,0,1,T,9,0
1,0,1,0,1,0,1,0,-1,4,3,O,1,0
-1,4,-1,-1,1,0,1,0,-1,4,3,L,5,0
-1,4,-1,2,3,2,-1,4,3,4,3,T,5,0
-1,4,-1,2,-1,6,5,6,-1,4,3,O,6,0
-1,4,-1,2,-1,-1,9,-1,-1,4,3,I,3,1
-1,6,-1,-1,-1,-1,9,-1,-1,4,3,T,12,2
1,0,1,0,1,0,1,0,1,0,1,T,9,0
1,0,1,0,1,0,1,0,-1,4,3,O,1,0
-1,4,-1,-1,1,0,1,0,-1,4,3,T,5,1
-1,4,3,4,3,4,-1,0,-1,4,3,T,12,2
1,0,1,0,1,0,1,0,1,0,1,I,9,0
1,0,1,0,1,0,1,0,-1,-1,-1,T,7,0
1,0,1,0,1,0,-1,4,3,4,3,L,3,0
1,-1,3,2,-1,4,3,4,3,4,3,T,3,0
1,-1,-1,6,5,6,-1,4,3,4,3,I,8,1
1,-1,-1,6,5,-1,7,-1,-1,-1,3,O,4,0
1,-1,-1,-1,9,-1,-1,-1,-1,-1,3,O,10,0
1,-1,-1,-1,9,-1,-1,-1,5,-1,7,L,8,0
1,-1,-1,-1,9,-1,7,8,7,-1,9,T,6,1
1,-1,-1,-1,11,10,11,-1,7,-1,9,I,8,0
1,-1,-1,-1,11,10,11,-1,-1,-1,11,O,5,0
1,-1,-1,-1,-1,14,-1,-1,-1,-1,11,L,12,2
1,0,1,0,1,0,1,0,1,0,1,O,9,0
1,0,1,0,1,0,1,-1,-1,4,-1,O,5,0
1,0,1,-1,-1,4,-1,2,-1,4,-1,L,1,0
3,2,-1,4,3,4,-1,2,-1,4,-1,L,7,0
3,2,-1,4,3,-1,5,4,-1,6,-1,O,1,0
-1,6,-1,-1,3,-1,5,4,-1,6,-1,L,7,0
-1,6,-1,-1,3,-1,7,6,-1,8,-1,T,4,1
-1,-1,7,6,7,6,7,6,-1,8,-1,I,7,0
-1,-1,7,6,7,6,-1,-1,-1,10,-1,I,5,0
-1,-1,7,6,-1,-1,-1,10,9,10,-1,I,3,0
-1,-1,-1,-1,-1,10,9,10,9,10,-1,T,8,1
-1,-1,-1,-1,-1,-1,13,12,13,-1,-1,T,7,0
-1,-1,-1,-1,-1,-1,-1,16,15,16,-1,T,12,2
1,0,1,0,1,0,1,0,1,0,1,L,9,0
1,0,1,0,1,0,1,-1,3,2,-1,I,5,0
1,0,1,0,-1,-1,-1,4,-1,2,-1,I,3,0
1,0,-1,-1,-1,4,3,4,-1,2,-1,I,1,0
-1,-1,-1,4,3,4,3,4,-1,2,-1,T,9,0
-1,-1,-1,4,3,4,3,4,-1,6,5,T,6,0
-1,-1,-1,4,3,-1,7,6,7,-1,5,L,10,0
-1,-1,-1,4,3,-1,7,6,-1,8,7,L,7,0
-1,-1,-1,4,3,-1,9,8,-1,10,-1,T,7,0
-1,-1,-1,4,3,-1,-1,12,11,12,-1,O,8,0
-1,-1,-1,4,3,-1,-1,-1,15,-1,-1,O,12,2
1,0,1,0,1,0,1,0,1,0,1,I,9,0
1,0,1,0,1,0,1,0,-1,-1,-1,O,7,0
1,0,1,0,1,-1,-1,4,-1,2,-1,O,3,0
1,-1,-1,4,-1,2,-1,4,-1,2,-1,I,5,1
1,-1,-1,6,-1,-1,3,4,-1,2,-1,I,9,0
1,-1,-1,6,-1,-1,3,4,3,-1,-1,L,6,1
1,-1,-1,-1,-1,8,-1,-1,3,-1,-1,L,8,0
1,-1,-1,-1,-1,8,-1,6,5,-1,7,T,8,0
1,-1,-1,-1,-1,8,-1,-1,9,8,9,L,9,0
1,-1,-1,-1,-1,8,-1,-1,11,10,-1,T,9,0
1,-1,-1,-1,-1,8,-1,-1,-1,14,13,O,10,0
1,-1,-1,-1,-1,8,-1,-1,-1,-1,17,T,12,2
1,0,1,0,1,0,1,0,1,0,1,O,9,0
1,0,1,0,1,0,1,-1,-1,4,-1,T,5,0
1,0,1,0,-1,4,3,4,3,4,-1,L,1,0
3,2,-1,4,3,4,3,4,3,4,-1,L,1,0
5,4,-1,6,-1,4,3,4,3,4,-1,L,1,0
7,6,-1,8,-1,4,3,4,3,4,-1,I,1,0
-1,-1,-1,10,-1,4,3,4,3,4,-1,T,8,1
-1,-1,-1,10,-1,-1,7,6,7,-1,-1,O,7,0
-1,-1,-1,10,-1,-1,-1,10,-1,-1,-1,O,12,2
1,0,1,0,1,0,1,0,1,0,1,O,9,0
1,0,1,0,1,0,1,-1,-1,4,-1,L,5,0
1,0,1,-1,3,2,-1,4,3,4,-1,I,1,0
-1,-1,-1,4,-1,2,-1,4,3,4,-1,L,8,0
-1,-1,-1,4,-1,2,-1,6,5,-1,7,O,8,0
-1,-1,-1,4,-1,2,-1,-1,9,-1,-1,I,5,1
-1,-1,-1,6,-1,-1,-1,-1,9,-1,-1,I,12,2
1,0,1,0,1,0,1,0,1,0,1,L,9,0
1,0,1,0,1,0,1,-1,3,2,-1,L,5,0
1,0,1,-1,3,2,-1,4,-1,2,-1,O,1,0
-1,4,-1,2,3,2,-1,4,-1,2,-1,T,9,0
-1,4,-1,2,3,2,-1,4,-1,6,5,I,3,1
-1,6,-1,-1,-1,2,-1,4,-1,6,5,I,5,1
-1,6,5,6,-1,-1,3,4,-1,6,5,O,6,0
-1,6,5,6,5,-1,7,-1,5,6,5,O,8,0
-1,6,5,6,5,-1,-1,-1,9,-1,-1,T,4,0
-1,6,5,-1,9,8,9,8,9,-1,-1,L,7,0
-1,6,5,-1,9,-1,11,10,-1,12,-1,T,7,0
-1,6,5,-1,9,-1,-1,14,13,14,-1,I,8,1
-1,6,5,-1,9,-1,17,-1,-1,-1,-1,I,12,2
1,0,1,0,1,0,1,0,1,0,1,L,9,0
1,0,1,0,1,0,1,-1,3,2,-1,L,5,0
1,0,1,-1,3,2,-1,4,-1,2,-1,T,1,0
-1,4,3,4,-1,2,-1,4,-1,2,-1,I,9,0
-1,4,3,4,-1,2,-1,4,3,-1,-1,T,8,0
-1,4,3,4,-1,2,-1,-1,7,6,7,I,5,1
-1,4,-1,6,-1,-1,3,-1,7,6,7,L,9,0
-1,4,-1,6,-1,-1,3,-1,9,8,-1,T,9,0
-1,4,-1,6,-1,-1,3,-1,-1,12,11,O,10,0
-1,4,-1,6,-1,-1,3,-1,-1,-1,15,O,12,2
1,0,1,0,1,0,1,0,1,0,1,I,9,0
1,0,1,0,1,0,1,0,-1,-1,-1,T,7,0
1,0,1,0,1,0,-1,4,3,4,3,T,3,0
1,0,-1,4,3,4,3,4,3,4,3,I,10,0
1,0,-1,4,3,4,3,4,3,-1,-1,L,8,0
1,0,-1,4,3,4,-1,6,5,-1,7,I,4,0
1,0,-1,-1,-1,-1,7,-1,5,-1,7,L,8,0
1,0,-1,-1,-1,-1,-1,8,7,-1,9,O,8,0
1,0,-1,-1,-1,-1,-1,-1,11,-1,-1,O,12,2
1,0,1,0,1,0,1,0,1,0,1,L,9,0
1,0,1,0,1,0,1,-1,3,2,-1,T,5,0
1,0,1,0,-1,4,3,4,-1,2,-1,T,9,0
1,0,1,0,-1,4,3,4,-1,6,5,O,6,0
1,0,1,0,-1,-1,7,-1,5,6,5,T,8,1
1,0,1,0,-1,-1,9,8,9,-1,5,I,1,0
-1,-1,-1,4,-1,-1,9,8,9,-1,5,I,10,0
-1,-1,-1,4,-1,-1,9,8,9,-1,-1,I,7,0
-1,-1,-1,4,-1,-1,-1,-1,-1,12,-1,L,12,2
1,0,1,0,1,0,1,0,1,0,1,L,9,0
1,0,1,0,1,0,1,-1,3,2,-1,O,5,0
1,0,1,-1,-1,4,-1,2,3,2,-1,I,1,0
-1,-1,-1,4,3,4,-1,2,3,2,-1,T,9,0
-1,-1,-1,4,3,4,-1,2,-1,6,5,I,7,1
-1,-1,-1,4,-1,6,-1,-1,-1,6,5,I,10,0
-1,-1,-1,4,-1,6,-1,-1,-1,-1,-1,O,12,2
1,0,1,0,1,0,1,0,1,0,1,L,9,0
1,0,1,0,1,0,1,-1,3,2,-1,O,5,0
1,0,1,-1,-1,4,-1,2,3,2,-1,I,1,0
-1,-1,-1,4,3,4,-1,2,3,2,-1,O,9,0
-1,-1,-1,4,3,4,-1,-1,-1,6,-1,I,4,0
-1,-1,-1,-1,-1,-1,7,-1,-1,6,-1,O,12,2
1,0,1,0,1,0,1,0,1,0,1,O,9,0
1,0,1,0,1,0,1,-1,-1,4,-1,T,5,0
1,0,1,0,-1,4,3,4,3,4,-1,I,1,0
-1,-1,-1,4,3,4,3,4,3,4,-1,I,8,0
-1,-1,-1,4,3,4,3,-1,-1,-1,7,L,6,0
-1,-1,-1,4,-1,6,5,-1,7,6,7,L,6,0
-1,-1,-1,4,-1,8,7,-1,9,-1,7,L,6,0
-1,-1,-1,4,-1,10,9,-1,11,-1,7,O,6,0
-1,-1,-1,4,-1,-1,13,-1,-1,-1,7,I,12,2
1,0,1,0,1,0,1,0,1,0,1,I,9,0
1,0,1,0,1,0,1,0,-1,-1,-1,L,7,0
1,0,1,0,1,-1,3,2,-1,4,3,O,3,0
1,-1,-1,4,-1,2,3,2,-1,4,3,T,7,0
1,-1,-1,4,-1,2,-1,6,5,6,-1,I,5,1
1,-1,-1,6,-1,-1,-1,6,5,6,-1,I,8,0
1,-1,-1,6,-1,-1,-1,-1,-1,-1,9,T,12,2
1,0,1,0,1,0,1,0,1,0,1,L,9,0
1,0,1,0,1,0,1,-1,3,2,-1,L,5,0
1,0,1,-1,3,2,-1,4,-1,2,-1,I,1,0
-1,-1,-1,4,-1,2,-1,4,-1,2,-1,L,9,0
-1,-1,-1,4,-1,2,-1,-1,5,4,-1,I,5,1
-1,-1,-1,6,-1,-1,3,-1,5,4,-1,O,6,0
-1,-1,-1,6,5,-1,7,-1,-1,4,-1,T,9,0
-1,-1,-1,6,5,-1,7,-1,-1,8,7,O,4,0
-1,-1,-1,-1,9,-1,-1,-1,-1,8,7,O,10,0
-1,-1,-1,-1,9,-1,-1,-1,-1,-1,11,I,12,2
1,0,1,0,1,0,1,0,1,0,1,I,9,0
1,0,1,0,1,0,1,0,-1,-1,-1,I,7,0
1,0,1,0,1,0,-1,-1,-1,4,3,O,5,0
1,0,1,-1,-1,4,-1,2,-1,4,3,I,1,0
-1,-1,-1,4,3,4,-1,2,-1,4,3,L,7,0
-1,-1,-1,4,3,-1,5,4,-1,6,-1,O,4,0
-1,-1,-1,-1,7,-1,-1,4,-1,6,-1,L,7,0
-1,-1,-1,-1,7,6,7,6,-1,8,-1,T,7,0
-1,-1,-1,-1,7,6,-1,10,9,10,-1,L,8,0
-1,-1,-1,-1,7,6,-1,12,11,-1,13,T,8,0
-1,-1,-1,-1,7,6,-1,-1,15,14,15,O,9,0
-1,-1,-1,-1,7,6,-1,-1,-1,18,-1,T,5,1
-1,-1,-1,10,9,10,-1,-1,-1,18,-1,T,12,2
1,0,1,0,1,0,1,0,1,0,1,L,9,0
1,0,1,0,1,0,1,-1,3,2,-1,T,9,0

